school_key,מוסד,מועצה,מין,גיוס,לחימה,קצונה,משמעותי,Unnamed: 8,המידע המוצג הינו מתוך מערכת מוסדות וערים שממנה יוצאים כל שנה נתונים אחרי אישור של לשכת רחט,פיקוח,מגזר,מחוז,רשות,ישוב,סוג מוסד,שלב חינוך במוסד,תלמידים_בנים,תלמידים_בנות,תלמידים,קבוצה,תלמידים_יב
42919,עתיד פלמחים,0,ז,73.17,14.29,0.0,85.72,,,ממלכתי,,,,,,,,,,חילוני - צבאי/מקצועי,
44050,TECHin עמל,0,ז,84.48,12.5,0.0,64.58,,,ממלכתי,,,,,,,,,,חילוני - צבאי/מקצועי,
45001,אורט תעשיה אוירית,0,ז,87.5,14.81,0.0,92.59,,,ממלכתי,,,,,,,,,,חילוני - צבאי/מקצועי,
45002,אורט תל-נוף,0,ז,91.11,16.05,0.0,93.83,,,ממלכתי,,,,,,,,,,חילוני - צבאי/מקצועי,
45005,אורט אורמת,0,ז,89.8,28.57,0.0,80.96,,,ממלכתי,,,,,,,,,,חילוני - צבאי/מקצועי,
46101,"נו""ע הדתי - נחלים",0,ז,82.43,38.98,2.08,89.84,,,ממלכתי דתי,,,חבל מודיעין,,,,,,,דתי לאומי - פריפריה/כפרי,
54017,עמל רמת דוד,0,ז,97.44,26.32,0.0,94.74000000000001,,,ממלכתי,,,,,,,,,,חילוני - צבאי/מקצועי,
54021,אנרג'י טק - עמל,0,ז,77.5,38.71,0.0,93.55,,,ממלכתי,,,,,,,,,,חילוני - צבאי/מקצועי,
54108,סכנין-טכנולוגי כסרא -סמיע,0,ז,90.32,25.0,0.0,83.33,,,ממלכתי,ערבי,,,,,,,,,ערבי,
65007,אורט בית הערבה,0,ז,85.11,28.57,0.0,82.85,,,ממלכתי,,,,,,,,,,חילוני - צבאי/מקצועי,
260067,מקיף עינות הירדן,עמיר,ז,97.44,63.16,3.33,97.37,,,ממלכתי,יהודי,צפון,הגליל העליון,עמיר,"בי""ס קיבוצי","חט""ב + עליונה",35.0,44.0,79.0,חילוני - קיבוצים/כפרי,35.0
542092,ריימונד לאוואן,מקוה ישראל,ז,80.0,33.33,23.08,88.89,,,ממלכתי,יהודי,תל אביב,חולון,חולון,בית ספר,"חט""ב + עליונה",31.0,48.0,79.0,חילוני - ערי מרכז,31.0
244483,בית הספר אמירים כפר ורדים,כפר ורדים,ז,92.86,56.41,11.11,92.31,,,ממלכתי,יהודי,צפון,כפר ורדים,כפר ורדים,בית ספר,"חט""ב + עליונה",48.0,48.0,96.0,חילוני - ערי פריפריה,48.0
360040,מקיף מבואות עירון,עין שמר,ז,92.68,51.32,12.0,94.73,,,ממלכתי,יהודי,חיפה,מנשה,עין שמר,"בי""ס קיבוצי","חט""ב + עליונה",90.0,104.0,194.0,חילוני - קיבוצים/כפרי,90.0
640060,"אורט ע""ש ה. רונסון",אשקלון,ז,91.23,36.89,0.98,93.21000000000001,,,ממלכתי,יהודי,דרום,אשקלון,אשקלון,בית ספר,"חט""ב + עליונה",123.0,121.0,244.0,חילוני - ערי פריפריה,123.0
471011,"מקיף אורט ע""ש גוטמן",נתניה,ז,87.76,30.47,5.88,89.06,,,ממלכתי,יהודי,תל אביב,נתניה,נתניה,בית ספר,"חט""ב + עליונה",130.0,127.0,257.0,חילוני - ערי מרכז,130.0
380022,מקיף שפיה,מאיר שפיה,ז,92.0,45.65,16.67,93.48,,,ממלכתי,יהודי,חיפה,חוף הכרמל,מאיר שפיה,"בי""ס חקלאי","חט""ב + עליונה",48.0,33.0,81.0,חילוני - קיבוצים/כפרי,48.0
444562,תיכון'מור'מטרו-ווסט,רעננה,ז,96.49,48.78,8.48,92.07000000000001,,,ממלכתי,יהודי,מרכז,רעננה,רעננה,בית ספר,עליונה בלבד,189.0,171.0,360.0,חילוני - ערי מרכז,189.0
441279,"בית חינוך ע""ש רבין",תל מונד,ז,95.5,56.6,12.3,95.28,,,ממלכתי,יהודי,מרכז,תל מונד,תל מונד,בית ספר,"חט""ב + עליונה",135.0,114.0,249.0,חילוני - ערי מרכז,135.0
344382,תכון חדרה בית-אליעזר,חדרה,ז,90.0,40.74,3.64,85.19,,,ממלכתי,יהודי,חיפה,חדרה,חדרה,בית ספר,"חט""ב + עליונה",124.0,107.0,231.0,חילוני - ערי מרכז,124.0
460030,מקיף אזורי עמי אסף,בית ברל,ז,95.61,66.06,15.38,92.66,,,ממלכתי,יהודי,מרכז,דרום השרון,בית ברל,"בי""ס מושבי","חט""ב + עליונה",155.0,135.0,290.0,חילוני - קיבוצים/כפרי,155.0
356212,תיכון זכרון יעקב,זכרון יעקב,ז,95.8,63.72,15.6,97.35,,,ממלכתי,יהודי,חיפה,זכרון יעקב,זכרון יעקב,בית ספר,עליונה בלבד,108.0,140.0,248.0,חילוני - ערי מרכז,108.0
240739,"בית לוי יצחק חב""ד",צפת,ז,49.02,40.0,0.0,60.0,,,חרדי,יהודי,צפון,צפת,צפת,ישיבה קטנה,עליונה בלבד,161.0,0.0,161.0,חרדי - ערים מעורבות,161.0
441238,"תיכון ע""ש יצחק רבין",כפר סבא,ז,92.74,50.43,8.7,87.82,,,ממלכתי,יהודי,מרכז,כפר סבא,כפר סבא,בית ספר,עליונה בלבד,113.0,121.0,234.0,חילוני - ערי מרכז,113.0
470138,"מקיף ע""ש מוסינזון",הוד השרון,ז,93.02,59.32,7.52,93.22,,,ממלכתי,יהודי,מרכז,הוד השרון,הוד השרון,בית ספר,עליונה בלבד,181.0,164.0,345.0,חילוני - ערי מרכז,181.0
470054,"אורט ע""ש מקס שיין",רחובות,ז,89.55,23.33,0.0,93.33,,,ממלכתי,יהודי,מרכז,רחובות,רחובות,בית ספר,"חט""ב + עליונה",88.0,87.0,175.0,חילוני - ערי מרכז,88.0
541169,מקיף היובל,הרצליה,ז,91.3,52.8,11.65,92.0,,,ממלכתי,יהודי,תל אביב,הרצליה,הרצליה,בית ספר,עליונה בלבד,162.0,148.0,310.0,חילוני - ערי מרכז,162.0
441667,"חט""ב ממ""ד בנים המר",כפר סבא,ז,95.65,59.09,9.68,95.46000000000001,,,ממלכתי דתי,יהודי,מרכז,כפר סבא,כפר סבא,בית ספר,"חט""ב + עליונה",48.0,0.0,48.0,דתי לאומי - מרכז,48.0
442061,אליעזר בן יהודה,נס ציונה,ז,95.73,46.36,9.8,84.55000000000001,,,ממלכתי,יהודי,מרכז,נס ציונה,נס ציונה,בית ספר,"חט""ב + עליונה",115.0,118.0,233.0,חילוני - ערי מרכז,115.0
470112,אורט שפירא אזורי למנהיגות,כפר סבא,ז,91.03,19.72,9.86,92.95,,,ממלכתי,יהודי,מרכז,כפר סבא,כפר סבא,בית ספר,עליונה בלבד,85.0,90.0,175.0,חילוני - ערי מרכז,85.0
440024,"תיכון ע""ש אוסטרובסקי",רעננה,ז,94.87,47.27,7.95,88.18,,,ממלכתי,יהודי,מרכז,רעננה,רעננה,בית ספר,עליונה בלבד,109.0,134.0,243.0,חילוני - ערי מרכז,109.0
